Business_20_Units_Business_20_Unit,Business_20_Units_Division
23-0,Minor
50-0,Minor
55-0,Minor
60-0,Minor
65-0,Minor
70-0,Minor
75-0,Minor
80-0,Minor
90-0,Minor
AM-0,Minor
BA-0,Minor
BI-0,Minor
CH-0,Minor
CO-0,Minor
CP-0,Core
CR-0,Minor
DE-0,Minor
EM-0,Minor
ER-0,Minor
EX-0,Minor
FI-0,Minor
FO-0,Minor
FS-0,Minor
HC-0,Core
HC-0,Minor
HO-0,Core
HO-0,Growth
HO-0,Minor
LO-0,Minor
MA-0,Core
MA-0,Minor
OS-0,Minor
PH-0,Minor
PU-0,Core
PU-0,Minor
SA-0,Minor
SE-0,Minor
SM-0,Minor
SO-0,Minor
ST-0,Minor
UM-0,Minor
UT-0,Minor

